position,temperature,humidity,noice,time,createdAt,updatedAt,__v
Malabe,29.8,91,51.7,2025-04-07 10:07:42.854,2025-04-07 10:07:42.855,2025-04-07 10:07:42.855,0
Malabe,29.9,91,51.6,2025-04-07 10:12:44.251,2025-04-07 10:12:44.251,2025-04-07 10:12:44.251,0
Malabe,30.2,90,51.6,2025-04-07 10:17:45.581,2025-04-07 10:17:45.581,2025-04-07 10:17:45.581,0
Malabe,30.2,90,51.6,2025-04-07 10:22:46.949,2025-04-07 10:22:46.949,2025-04-07 10:22:46.949,0
Malabe,30.2,90,51.6,2025-04-07 10:27:48.236,2025-04-07 10:27:48.236,2025-04-07 10:27:48.236,0
Malabe,30.2,90,51.6,2025-04-07 10:32:49.588,2025-04-07 10:32:49.588,2025-04-07 10:32:49.588,0
Malabe,30.2,89,51.6,2025-04-07 10:37:50.873,2025-04-07 10:37:50.874,2025-04-07 10:37:50.874,0
Malabe,30.2,89,51.6,2025-04-07 10:42:52.354,2025-04-07 10:42:52.354,2025-04-07 10:42:52.354,0
Malabe,30.2,89,51.6,2025-04-07 10:47:53.671,2025-04-07 10:47:53.671,2025-04-07 10:47:53.671,0
Malabe,30.2,89,51.6,2025-04-07 10:52:55.049,2025-04-07 10:52:55.049,2025-04-07 10:52:55.049,0
Malabe,30.2,90,51.6,2025-04-07 10:57:56.413,2025-04-07 10:57:56.413,2025-04-07 10:57:56.413,0
Malabe,30.2,90,51.6,2025-04-07 11:02:57.665,2025-04-07 11:02:57.665,2025-04-07 11:02:57.665,0
Malabe,30.2,90,51.6,2025-04-07 11:07:58.929,2025-04-07 11:07:58.929,2025-04-07 11:07:58.929,0
Malabe,30.2,90,51.5,2025-04-07 11:13:00.218,2025-04-07 11:13:00.218,2025-04-07 11:13:00.218,0
Malabe,30.2,90,51.6,2025-04-07 11:18:01.486,2025-04-07 11:18:01.486,2025-04-07 11:18:01.486,0
Malabe,30.2,90,51.6,2025-04-07 11:23:02.721,2025-04-07 11:23:02.721,2025-04-07 11:23:02.721,0
Malabe,30.2,90,51.6,2025-04-07 11:28:04.012,2025-04-07 11:28:04.012,2025-04-07 11:28:04.012,0
Malabe,30.2,90,51.6,2025-04-07 11:33:05.265,2025-04-07 11:33:05.265,2025-04-07 11:33:05.265,0
Malabe,30.2,90,51.6,2025-04-07 11:38:06.662,2025-04-07 11:38:06.662,2025-04-07 11:38:06.662,0
Malabe,30.2,90,51.7,2025-04-07 11:43:08.234,2025-04-07 11:43:08.234,2025-04-07 11:43:08.234,0
Malabe,30.2,90,51.5,2025-04-07 11:48:09.659,2025-04-07 11:48:09.660,2025-04-07 11:48:09.660,0
Malabe,30.2,90,51.6,2025-04-07 11:53:14.320,2025-04-07 11:53:14.322,2025-04-07 11:53:14.322,0
Malabe,30.2,90,51.7,2025-04-07 11:58:20.152,2025-04-07 11:58:20.153,2025-04-07 11:58:20.153,0
Malabe,30.2,91,51.4,2025-04-07 12:03:22.132,2025-04-07 12:03:22.132,2025-04-07 12:03:22.132,0
Malabe,30.2,91,51.6,2025-04-07 12:08:23.430,2025-04-07 12:08:23.431,2025-04-07 12:08:23.431,0
Malabe,30.2,91,51.6,2025-04-07 12:13:24.890,2025-04-07 12:13:24.890,2025-04-07 12:13:24.890,0
Malabe,30.2,91,51.6,2025-04-07 12:18:26.192,2025-04-07 12:18:26.192,2025-04-07 12:18:26.192,0
Malabe,30.2,91,51.6,2025-04-07 12:23:27.626,2025-04-07 12:23:27.626,2025-04-07 12:23:27.626,0
Malabe,30.2,91,51.6,2025-04-07 12:28:28.910,2025-04-07 12:28:28.910,2025-04-07 12:28:28.910,0
Malabe,30.2,91,51.6,2025-04-07 12:33:30.286,2025-04-07 12:33:30.287,2025-04-07 12:33:30.287,0
Malabe,30.2,91,51.6,2025-04-07 12:38:31.646,2025-04-07 12:38:31.647,2025-04-07 12:38:31.647,0
Malabe,30.2,91,51.6,2025-04-07 12:43:33.011,2025-04-07 12:43:33.012,2025-04-07 12:43:33.012,0
Malabe,30.2,91,51.6,2025-04-07 12:48:34.383,2025-04-07 12:48:34.383,2025-04-07 12:48:34.383,0
Malabe,30.2,91,51.6,2025-04-07 12:53:35.818,2025-04-07 12:53:35.818,2025-04-07 12:53:35.818,0
Malabe,30.2,91,51.5,2025-04-07 12:58:37.106,2025-04-07 12:58:37.106,2025-04-07 12:58:37.106,0
Malabe,30.2,91,51.6,2025-04-07 13:03:38.434,2025-04-07 13:03:38.435,2025-04-07 13:03:38.435,0
Malabe,30.2,91,51.6,2025-04-07 13:08:39.724,2025-04-07 13:08:39.724,2025-04-07 13:08:39.724,0
Malabe,30.2,91,51.6,2025-04-07 13:13:41.110,2025-04-07 13:13:41.110,2025-04-07 13:13:41.110,0
